,0
0,3.7056726538364657
1,2.8026852681708503
2,2.3325170086349956
3,2.0336417272467684
4,1.814037351942337
5,1.6286192887193944
6,1.4572930270406732
7,1.3046985614093847
8,1.1630908881939153
9,1.0289961578406666
