,0
0,4.477814296080528
1,4.11790308583187
2,3.8892784939312586
3,3.740138507392722
4,3.6139892479279676
5,3.4852040051956323
6,3.3621386061550638
7,3.2472839892406307
8,3.155519513235745
9,3.0587715454309015
