,0
0,4.287335359966305
1,3.9110092148137108
2,3.621300289132087
3,3.1590223832536184
4,2.748198615154698
5,2.4742477283367954
6,2.2771483652880002
7,2.1224899418599623
8,2.001107668007175
9,1.8970480465538138
