,Principal Component 1,Principal Component 2,Principal Component 3,Principal Component 4,Principal Component 5,Principal Component 6,Principal Component 7,Principal Component 8,Principal Component 9,Principal Component 10,Principal Component 11,Principal Component 12,Principal Component 13,Principal Component 14,Principal Component 15,Principal Component 16,Principal Component 17,Principal Component 18,Principal Component 19,Principal Component 20,Principal Component 21,Principal Component 22,Principal Component 23,Principal Component 24,Principal Component 25,Principal Component 26,Principal Component 27,Principal Component 28,Principal Component 29,Principal Component 30,Principal Component 31,Principal Component 32,Principal Component 33,Principal Component 34,Principal Component 35,Principal Component 36
1924,-2.862595790013624,-0.0852206677171148,0.43531149699603355,-0.125367792776793,1.0184782078370764,-1.5173553708165948,0.23429653150217727,1.351728137750408,1.0504232121654533,-0.6748559269793227,2.4533672600441414,0.5051170535971932,1.187336727507654,-1.6377698297814185,-0.049005421224843554,0.10062299603806373,-1.8386454098950247,0.07396198375216612,0.17806398904497184,-0.49520301405053435,1.2133319767641735,-1.5143767911674633,-0.441677015290932,2.148384986108148,0.330388520614233,1.0859517705726125,-0.48125618169912765,-0.8036590655777014,2.559271312503878,1.9280012609540473,0.3549506170603305,0.3392915916017114,-1.5220955095262731,1.2088779333902595,-0.3063902817213265,0.009182849557363102
2333,-2.806647274516995,0.0006666488996343187,1.3385495039229358,1.49925735298492,2.7868239614111507,-0.5194667625605073,-1.4381976577561002,-0.6920848682730517,-2.2426921774690483,1.4356656354933217,0.8040629388713071,0.08743566740687556,0.8643787297092547,0.7106727433629473,-0.6392581366871244,0.5321200057970609,-2.2872782989150764,0.47719975789780245,0.7174519711724713,1.0595512462898649,-0.38958005806030255,0.4866579850359268,-0.5096338373155964,-0.010890615930184241,1.3714238821811062,1.154494635233545,0.49691792221306263,0.2926134445622099,-1.292550966158711,0.29012861261280354,-0.011717886227669339,-0.4132073594990367,0.43576192126335056,0.029931227904853967,-1.3230840307411493,-0.6245406415159919
4285,-3.520395034679267,0.02022467913659861,5.613192725575058,-0.39737115431777575,1.5651856354153786,-1.5145912872550478,-0.6245310414254768,1.2031414748849532,-0.11462457165012545,0.33744952580251697,3.5596991845328048,-0.056989337330374784,-1.39483930040016,0.5759564269345225,-0.8063625508309111,0.9221797430265877,-0.46197848825590787,-0.8179991999591099,1.0480787323082885,-0.3904778519547598,0.7364540871196313,-0.016536608451720072,0.34383004979039555,-0.1685250101965273,-0.3714996575754845,0.400281128348116,-0.6094752288527782,-0.9229168064083253,2.514554036296501,2.926443464977813,-0.4365066424913455,-0.7807956142421337,-0.3730315621410073,1.3776354734236589,1.9701519431950496,0.41989753399487445
3742,-3.507668741001301,0.048208587740573884,7.347141622930908,-1.7805294887100382,2.8833862236335066,0.6119088874613187,-0.04496074036656007,-0.7432936135849949,-0.7004554315013223,-0.027892049133333305,-1.2970518241772921,0.9710121269557662,3.9274038892848457,-2.0127157009848133,2.7359155027066193,-2.6718083129899677,-1.929698629628358,0.36295605761251964,-0.32309192844638834,1.655717285770733,-1.0545011338371562,-0.5834863105859734,-0.44786073165654494,0.7956969621261731,0.967835840740481,0.8091483765451783,-0.4662012234819115,0.5621948985396011,-0.2051099714229396,-0.44558020944433796,0.5393832118422105,-0.7008650770746541,-1.6059520259192084,0.449406306059119,-0.48309941137534895,-0.07609066667980076
1785,18.728240671500615,-3.232231883817687,-0.6868914420845557,2.402969595614303,0.3541314640156265,-3.086860221664612,0.45513244328252633,0.1536487250934304,-0.3829662064427627,-0.1970529162392228,0.6286881155314521,0.1163399981562847,-0.70242721608528,0.3539305856291929,-1.0902733809136471,0.8848472557594441,-0.8823882420997836,1.1620400535758288,-0.45138986275388215,1.527234174718146,-0.007371385758913569,-0.24812369944420337,0.2078956085550133,0.37731444234905576,-0.16898463866522256,0.12676161485317702,-1.223083234611194,0.745024505092532,-0.17162664918190526,-0.18420471810061495,-1.0291186887147064,0.8107738838697685,0.566002120030188,-0.4689146658717396,-1.9853532190715193,-0.03512521714722835
1296,2.301896485235906,0.1303249138601299,0.25924810971686874,-4.3425257796877945,0.467925997098324,1.8255275262590782,-1.2886941626293746,-1.459036383366206,-3.682755714984184,1.897841326122757,-1.1660838368054964,0.15152629206633092,-2.2368637308067782,-4.294196736530091,-0.4084476863184838,0.1572735739798748,1.321165065460394,-1.610305445025531,0.3630186914234104,-1.0221174567784879,1.6389965850492214,-0.2846212027329335,0.08314704102186507,0.8398977575235819,0.46442653497002545,0.6884473776770559,-0.9810701680811644,0.6511188622287885,0.6323039260785246,-1.792825595889408,0.224118879017884,0.017900896195552893,-0.3636805464578873,1.1261037409811014,-0.5671849154446583,1.2478181120309921
4584,-2.013345890999001,-0.05380661454106841,0.10993881051822729,-0.5504383746918913,0.5810484149995048,1.0354701061177167,0.17984887705943572,0.04478654885603959,-0.37174915571215494,-0.06877995883351773,0.2124006653830823,-0.5716406982496621,-0.5627232744045995,-1.1332343995721164,1.0147518811057392,-1.2896565341526722,-0.29551695730662353,0.21746297232094738,-0.5563998130392406,-0.29755003475716874,0.6242671694121487,0.3805350956596305,-1.0313613777476087,-1.1398205906465804,-1.5822374733347546,-0.8164044728330329,0.4616664612623316,-0.6564280569617719,-0.2525517909440684,0.28438690021844354,0.3625864652956347,-0.7067873360583097,0.014497422716730211,0.2257545371016972,1.6666935049047067,0.2590044803477684
2536,-3.4766593974197004,0.12124380794262114,5.26311622097869,4.775411521180255,2.18075202939595,-0.9418605826325325,-0.489529921104712,0.9392792100374702,-0.7832283637069999,0.729430462400202,3.80485288997942,-0.0848820659421624,0.18098364140920875,-0.05582180690126286,-1.1333566179243892,1.1827018365245763,-1.3479414718333742,-0.0375960678735352,1.162447231777663,-0.7888757410934402,-1.5761728764830631,0.2880296649094693,-1.3007139825403033,0.9558120113531589,2.04836212567747,0.939019110739016,0.5790875108376062,-1.3042412408765105,1.9051218035907571,2.7259411400677513,-0.9420980204264968,0.4686115944037294,-0.9835550809215448,1.418699256652785,-0.29788528082125576,0.25233508960063944
3149,-1.729609089340654,-0.18789184797634872,-4.539852079102927,-1.4282754917670384,-1.2766691555962344,-0.03126599201384113,0.49847726675710674,-0.46358303572521264,0.1957752466361086,-0.26546481867951066,-1.0529764184281656,-0.8150808339702744,0.5114281833672994,1.421719154269727,-0.6340250933301596,0.7217375860488748,0.14054601958744364,-0.4789881323740783,0.4907907141394721,0.9396435805817581,0.1914955018708562,-0.19216364464326702,0.26731028439868343,0.5342257809737816,-0.37725806565957254,-0.635389752837968,-1.0479141240266754,0.15243548128618786,0.6354472987734975,-0.46027574222569645,-0.3193219359649367,-0.03839045076281765,-0.7144380141496809,-0.9229553378097445,0.7067128597719702,1.039272653792895
849,-1.8094808736896884,-0.16811112970162043,-4.654172779835078,-0.6868824396972384,0.572982379511369,-1.3974639435671605,-0.9994594859825198,0.4834704140821311,-0.30260911670215473,-0.02898314629103846,0.9350598256042344,0.10981278543462523,-0.9044088875433124,-0.611367981217467,0.47083062489038474,-0.3967465291592282,-1.0333289233036458,-0.28635152598791125,0.2842507066172508,0.5799158419777891,0.9251724065546805,0.0757487283053344,-0.5446539805308519,0.5945353020549701,-2.2723752802877892,0.22182872318911603,-1.3332509829093355,0.7215331881520265,-0.32713326055563696,-0.2267008164076331,0.4220881902072193,-0.4955775300361277,-0.9232440110403055,-0.13910005008830398,-0.08521918574709873,-0.09942612629201723
